Unnamed: 0,headline,url,publisher,date,stock,Sentiment_DecisionTreeClassifier,Sentiment_finbert,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_VADER
734861,recap cocacola q earnings,https://www.benzinga.com/news/earnings/20/04/15845711/recap-coca-cola-q1-earnings,Benzinga Insights,2020-04-21 00:00:00,KO,1,2,1,1,1,1,1,1,1,0.5
734862,coca cola q eps beats est revenue b beats b est,https://www.benzinga.com/news/earnings/20/04/15845477/coca-cola-q1-eps-0-51-beats-0-44-est-revenue-8-6b-beats-8-28b-est,Charles Gross,2020-04-21 00:00:00,KO,1,2,1,1,1,0,1,1,1,0.5
734863,a peek into the markets us stock futures fall ahead of cocacola lockheed martin earnings,https://www.benzinga.com/news/earnings/20/04/15845466/a-peek-into-the-markets-us-stock-futures-fall-ahead-of-coca-cola-lockheed-martin-earnings,Lisa Levin,2020-04-21 00:00:00,KO,0,1,1,0,1,0,0,0,0,0.5
734864,earnings scheduled for april ,https://www.benzinga.com/news/earnings/20/04/15845328/earnings-scheduled-for-april-21-2020,Lisa Levin,2020-04-21 00:00:00,KO,1,2,0,0,1,0,1,1,1,0.5
734865, stocks to watch for april ,https://www.benzinga.com/news/earnings/20/04/15845236/8-stocks-to-watch-for-april-21-2020,Lisa Levin,2020-04-21 00:00:00,KO,1,2,0,1,0,0,1,1,1,0.5
734866, etfs to play for this weeks earnings onslaught,https://www.benzinga.com/news/earnings/20/04/15836909/3-etfs-to-play-for-this-weeks-earnings-onslaught,ETF Professor,2020-04-20 00:00:00,KO,1,2,1,0,1,1,1,1,1,0.67
734867,put selling and winning systems in any market options advice from mojo day trading,https://www.benzinga.com/general/education/20/04/15834199/put-selling-and-winning-systems-in-any-market-options-advice-from-mojo-day-trading,Renato Capelj,2020-04-20 00:00:00,KO,1,2,1,1,1,1,1,1,1,0.76335
734868,indexes end week higher as white house rolls out statebystate coronavirus strategy investors digest first round of earnings reports,https://www.benzinga.com/news/20/04/15822582/indexes-end-week-higher-as-white-house-rolls-out-state-by-state-coronavirus-strategy-investors-diges,Wayne Duggan,2020-04-18 00:00:00,KO,1,0,1,1,1,1,1,1,1,0.5
734869,sp futures up after hours many other stocks moving higher with futures investors reacting favorably to white phase guidelines on reopening economy,https://www.benzinga.com/news/20/04/15824869/s-p-500-futures-up-3-2-after-hours-many-other-stocks-moving-higher-with-futures-investors-reacting-f,Benzinga Newsdesk,2020-04-16 00:00:00,KO,1,0,1,0,1,1,1,1,1,0.6909
734870,every member of trumps great american economic revival industry groups,https://www.benzinga.com/news/20/04/15808727/every-member-of-trumps-great-american-economic-revival-industry-groups,Tanzeel Akhtar,2020-04-15 00:00:00,KO,1,2,1,1,1,1,1,1,1,0.81245
734871,shares of several beverage companies are trading lower as the coronavirus pandemic continues to take its toll on the economy the pandemic has decreased economic activity and consumer spending,https://www.benzinga.com/wiim/20/04/15808294/shares-of-several-beverage-companies-are-trading-lower-as-the-coronavirus-pandemic-continues-to-take,Benzinga Newsdesk,2020-04-15 00:00:00,KO,0,1,0,1,0,0,0,0,0,0.5
734872,shares of several beverage companies are trading higher as markets gain on positive coronavirus outlook optimism surrounding the virus has led to hopes of an upcoming return to economic activity which would benefit the sector,https://www.benzinga.com/wiim/20/04/15798544/shares-of-several-beverage-companies-are-trading-higher-as-markets-gain-on-positive-coronavirus-outl,Benzinga Newsdesk,2020-04-14 00:00:00,KO,1,0,1,1,1,1,1,1,1,0.9776
734873,shares of several beverage companies are trading lower amid demand concerns caused by the coronavirus the pandemic has caused a disruption in consumer spending,https://www.benzinga.com/wiim/20/04/15790456/shares-of-several-beverage-companies-are-trading-lower-amid-demand-concerns-caused-by-the-coronaviru,Benzinga Newsdesk,2020-04-13 00:00:00,KO,0,1,0,0,0,0,0,0,0,0.2706
734874,food news roundup guy fieri lends a helping hand expert cautions against protectionist measures cocacola stock in focus,https://www.benzinga.com/general/restaurants/20/04/15760092/food-news-roundup-guy-fieri-lends-a-helping-hand-expert-cautions-against-protectionist-measur,Jayson Derrick,2020-04-07 00:00:00,KO,1,0,1,1,1,1,1,1,1,0.82985
734875, consumer defensive stocks moving in tuesdays premarket session,https://www.benzinga.com/pre-market-outlook/20/04/15755595/4-consumer-defensive-stocks-moving-in-tuesdays-pre-market-session,Benzinga Insights,2020-04-07 00:00:00,KO,1,1,0,1,0,0,1,1,1,0.5129
734876,shares of several beverage companies are trading higher amid overall market strength on hopes us coronavirus hotspots could soon reach their peak additionally the virus has lead to high demand for packaged food and beverages,https://www.benzinga.com/wiim/20/04/15750147/shares-of-several-beverage-companies-are-trading-higher-amid-overall-market-strength-on-hopes-us-cor,Benzinga Newsdesk,2020-04-06 00:00:00,KO,1,0,1,1,1,1,1,1,1,0.88915
734877,ty cobb the greatest pro athlete investor of all time,https://www.benzinga.com/general/education/20/04/15730154/ty-cobb-the-greatest-pro-athlete-investor-of-all-time,Wayne Duggan,2020-04-05 00:00:00,KO,1,2,1,0,1,1,1,1,1,0.88915
734878,cocacola ceo reiterates co has no plans to layoff employees amid coronavirus outbreak,https://www.benzinga.com/news/20/04/15728727/coca-cola-ceo-reiterates-co-has-no-plans-to-layoff-employees-amid-coronavirus-outbreak,Benzinga Newsdesk,2020-04-02 00:00:00,KO,1,1,1,1,0,1,1,0,1,0.352
734879,goldman sachs reinstates neutral on cocacola announces price target,https://www.benzinga.com/news/20/04/15714808/goldman-sachs-reinstates-neutral-on-coca-cola-announces-46-price-target,Vick Meyer,2020-04-01 00:00:00,KO,1,2,1,1,1,1,1,1,1,0.5
734880,morgan stanley maintains equalweight on cocacola raises price target to ,https://www.benzinga.com/news/20/03/15705307/morgan-stanley-maintains-equal-weight-on-coca-cola-raises-price-target-to-46,Vick Meyer,2020-03-31 00:00:00,KO,1,2,1,1,1,0,1,1,1,0.5
734881,shares of several consumerrelated companies are trading higher after president trump extended coronavirus measures in an effort to better help sustain the outbreak,https://www.benzinga.com/wiim/20/03/15695646/shares-of-several-consumer-related-companies-are-trading-higher-after-president-trump-extended-coron,Benzinga Newsdesk,2020-03-30 00:00:00,KO,1,0,1,1,1,1,1,1,1,0.88915
734882,shares of several consumer goods companies are trading lower as markets sell off following this weeks strength the sector has been on watch recently amid consumer demand for groceries household items and other staples,https://www.benzinga.com/wiim/20/03/15682743/shares-of-several-consumer-goods-companies-are-trading-lower-as-markets-sell-off-following-this-week,Benzinga Newsdesk,2020-03-27 00:00:00,KO,0,1,0,1,0,0,0,0,0,0.70095
734883,argus research upgrades cocacola to buy announces price target,https://www.benzinga.com/news/20/03/15682548/argus-research-upgrades-coca-cola-to-buy-announces-54-price-target,Benzinga_Newsdesk,2020-03-27 00:00:00,KO,1,2,1,1,1,1,1,1,1,0.5
734884,hearing argus upgrades cocacola from hold to buy announces target,https://www.benzinga.com/news/20/03/15682324/hearing-argus-upgrades-coca-cola-from-hold-to-buy-announces-54-target,Benzinga_Newsdesk,2020-03-27 00:00:00,KO,1,2,1,1,1,1,1,1,1,0.5
734885,shares of several consumer goods companies are trading higher amid market strength following us senate passage of an economic stimulus package note packaged food and discount store stocks have been volatile recently amid consumer demand for staples,https://www.benzinga.com/wiim/20/03/15673505/shares-of-several-consumer-goods-companies-are-trading-higher-amid-market-strength-following-us-sena,Benzinga Newsdesk,2020-03-26 00:00:00,KO,1,0,1,1,1,1,1,1,1,0.7997000000000001
734886,dz bank upgrades cocacola to buy announces price target,https://www.benzinga.com/news/20/03/15658637/dz-bank-upgrades-coca-cola-to-buy-announces-51-price-target,Vick Meyer,2020-03-25 00:00:00,KO,1,2,1,1,1,1,1,1,1,0.5
734887, stocks moving in tuesdays midday session,https://www.benzinga.com/news/20/03/15653527/75-stocks-moving-in-tuesdays-mid-day-session,Lisa Levin,2020-03-24 00:00:00,KO,1,2,0,0,0,0,1,1,1,0.5
734888,orange juice futures jump as much as to month high,https://www.benzinga.com/markets/commodities/20/03/15652723/orange-juice-futures-jump-as-much-as-6-to-11-month-high,Benzinga Newsdesk,2020-03-24 00:00:00,KO,1,0,1,1,1,1,1,1,1,0.5
734889,shares of several consumer goods companies are trading higher amid market strength on hopes of a us economic stimulus agreement the sector has been volatile recently amid consumer demand for household staples and cleaning products,https://www.benzinga.com/wiim/20/03/15650707/shares-of-several-consumer-goods-companies-are-trading-higher-amid-market-strength-on-hopes-of-a-us,Benzinga Newsdesk,2020-03-24 00:00:00,KO,1,0,1,1,1,1,1,1,1,0.9359999999999999
734890,cocacola shares are trading higher after hsbc upgraded the companys stock from hold to buy,https://www.benzinga.com/wiim/20/03/15647953/coca-cola-shares-are-trading-higher-after-hsbc-upgraded-the-companys-stock-from-hold-to-buy,Benzinga Newsdesk,2020-03-24 00:00:00,KO,1,0,1,1,1,1,1,1,1,0.648
734891, stocks moving in tuesdays premarket session,https://www.benzinga.com/news/20/03/15647839/26-stocks-moving-in-tuesdays-pre-market-session,Lisa Levin,2020-03-24 00:00:00,KO,1,2,0,1,0,0,1,1,1,0.5
734892, summer olympics likely to be postponed until due to global pandemic,https://www.benzinga.com/news/20/03/15645638/2020-summer-olympics-likely-to-be-postponed-until-2021-due-to-global-pandemic,Shivdeep Dhaliwal,2020-03-24 00:00:00,KO,1,1,1,1,1,1,1,1,1,0.39885
734893,hsbc upgrades cocacola to buy announces price target,https://www.benzinga.com/news/20/03/15646961/hsbc-upgrades-coca-cola-to-buy-announces-45-price-target,Vick Meyer,2020-03-24 00:00:00,KO,1,2,1,1,1,1,1,1,1,0.5
734894,update jp morgan upgrades cocacola to overweight announces price target as firm believes kos deep transformation will allow faster top line better margins free cash flow conversion and returns in the long run,https://www.benzinga.com/analyst-ratings/analyst-color/20/03/15636893/update-jp-morgan-upgrades-coca-cola-to-overweight-announces-44-price-target-as-firm,Benzinga Newsdesk,2020-03-23 00:00:00,KO,1,0,1,1,1,1,1,1,1,0.901
734895,stocks that hit week lows on monday,https://www.benzinga.com/news/20/03/15635758/stocks-that-hit-52-week-lows-on-monday,Lisa Levin,2020-03-23 00:00:00,KO,1,1,0,1,0,0,1,1,1,0.39885
734896,jp morgan upgrades cocacola to overweight announces price target,https://www.benzinga.com/news/20/03/15629701/jp-morgan-upgrades-coca-cola-to-overweight-announces-44-price-target,Vick Meyer,2020-03-23 00:00:00,KO,1,0,1,1,1,1,1,1,1,0.41105
734897,bulls and bears of the week amazon boeing cocacola and more,https://www.benzinga.com/trading-ideas/20/03/15624287/bulls-and-bears-of-the-week-amazon-boeing-coca-cola-and-more,Nelson Hem,2020-03-21 00:00:00,KO,1,2,1,1,0,1,1,1,1,0.58895
734898,stocks that hit week lows on friday,https://www.benzinga.com/news/20/03/15617576/stocks-that-hit-52-week-lows-on-friday,Benzinga Newsdesk,2020-03-20 00:00:00,KO,1,1,1,1,1,1,1,1,1,0.39885
734899,shares of some beverage companies are trading lower consumer demand for staples and packaged food items has been volatile recently contributing to volatility in stock movement,https://www.benzinga.com/wiim/20/03/15618375/shares-of-some-beverage-companies-are-trading-lower-consumer-demand-for-staples-and-packaged-food-it,Benzinga Newsdesk,2020-03-20 00:00:00,KO,0,1,0,0,0,0,0,0,0,0.436
734900,update cocacola says impact from coronavirus could be material,https://www.benzinga.com/news/20/03/15616054/update-coca-cola-says-impact-from-coronavirus-could-be-material,Benzinga Newsdesk,2020-03-20 00:00:00,KO,1,1,1,1,1,1,1,1,1,0.5
734901,update cocacola says recent initiatives by authorities to limit spread of coronavirus as well as recent movement in forex rates will have negative impact on fy results says does not expect to achieve prior guidance,https://www.benzinga.com/news/20/03/15616052/update-coca-cola-says-recent-initiatives-by-authorities-to-limit-spread-of-coronavirus-as-well-as-re,Benzinga Newsdesk,2020-03-20 00:00:00,KO,1,1,0,1,0,0,1,1,0,0.30910000000000004
734902,cocacola k shows recent local market policies initiatives to reduce spread of coronavirus have significantly increased including direction to refrain from dining at restaurants cancellation of major sporting entertainment events,https://www.benzinga.com/news/20/03/15616045/coca-cola-8-k-shows-recent-local-market-policies-initiatives-to-reduce-spread-of-coronavirus-have-si,Benzinga Newsdesk,2020-03-20 00:00:00,KO,1,0,1,1,1,1,1,1,1,0.7997000000000001
734903,deutsche bank maintains buy on cocacola lowers price target to ,https://www.benzinga.com/news/20/03/15615877/deutsche-bank-maintains-buy-on-coca-cola-lowers-price-target-to-53,Benzinga_Newsdesk,2020-03-20 00:00:00,KO,1,2,1,1,1,1,1,1,1,0.436
734904,shares of several consumer goods companies are trading lower the coronavirus outbreak has led to volatility in consumer spending which has moved the sector both up and down in recent weeks,https://www.benzinga.com/wiim/20/03/15606333/shares-of-several-consumer-goods-companies-are-trading-lower-the-coronavirus-outbreak-has-led-to-vol,Benzinga Newsdesk,2020-03-19 00:00:00,KO,0,1,0,0,0,0,0,0,0,0.5
734905, stocks moving in wednesdays midday session,https://www.benzinga.com/news/20/03/15582552/96-stocks-moving-in-wednesdays-mid-day-session,Lisa Levin,2020-03-18 00:00:00,KO,1,2,0,0,0,0,1,1,1,0.5
734906,morgan stanley downgrades cocacola and monster beverages,https://www.benzinga.com/analyst-ratings/analyst-color/20/03/15581478/morgan-stanley-downgrades-coca-cola-and-monster-beverages,Jayson Derrick,2020-03-18 00:00:00,KO,1,1,1,1,0,1,1,1,1,0.5
734907,update morgan stanley downgrades cocacola to equalweight lowers price target to based on a weaker demand outlook post the covid situation and cites an additional potential risks,https://www.benzinga.com/analyst-ratings/analyst-color/20/03/15580966/update-morgan-stanley-downgrades-coca-cola-to-equal-weight-lowers-price-target-to-5,Benzinga Newsdesk,2020-03-18 00:00:00,KO,1,1,0,1,0,0,1,0,0,0.14079999999999998
734908,cocacola shares are trading lower as equities fall amid the global coronavirus outbreak morgan stanley also reportedly downgraded the companys stock from overweight to equalweight and lowered its price target from to ,https://www.benzinga.com/wiim/20/03/15578384/coca-cola-shares-are-trading-lower-as-equities-fall-amid-the-global-coronavirus-outbreak-morgan-stan,Benzinga Newsdesk,2020-03-18 00:00:00,KO,0,1,0,1,0,0,0,0,0,0.2706
734909,morgan stanley downgrades cocacola from overweight to equal weight cuts pt from to ,https://www.benzinga.com/analyst-ratings/downgrades/20/03/15578352/morgan-stanley-downgrades-coca-cola-from-overweight-to-equal-weight-cuts-pt-from-65-to,Benzinga Newsdesk,2020-03-18 00:00:00,KO,1,1,0,1,0,0,1,0,0,0.21405000000000002
734910,shares of several consumer goods and consumer staples companies are trading higher as markets rebound from markets crash additionally investors speculate the coronavirus outbreak may lead to bulk spending on several staples,https://www.benzinga.com/wiim/20/03/15568324/shares-of-several-consumer-goods-and-consumer-staples-companies-are-trading-higher-as-markets-reboun,Benzinga Newsdesk,2020-03-17 00:00:00,KO,1,0,1,1,1,1,1,1,1,0.436
734911,shares of several consumer goods companies are trading lower amid the global coronavirus outbreak which investors speculate may lead to softer consumer spending,https://www.benzinga.com/wiim/20/03/15557615/shares-of-several-consumer-goods-companies-are-trading-lower-amid-the-global-coronavirus-outbreak-wh,Benzinga Newsdesk,2020-03-16 00:00:00,KO,0,1,0,1,0,0,0,0,0,0.5
734912,shares of several consumer defensive and consumer cyclical companies are trading lower as equities sell off amid continued global coronavirus concerns the virus has caused global economic disruption and negatively impacted stocks across sectors,https://www.benzinga.com/wiim/20/03/15537119/shares-of-several-consumer-defensive-and-consumer-cyclical-companies-are-trading-lower-as-equities-s,Benzinga Newsdesk,2020-03-12 00:00:00,KO,0,1,0,1,0,0,0,0,0,0.32999999999999996
734913,shares of several consumer goods and retail companies are trading lower as global markets continue to experience pressure amid the coronavirus spread which has negatively impacted companies across sectors,https://www.benzinga.com/wiim/20/03/15525972/shares-of-several-consumer-goods-companies-are-trading-lower-as-global-markets-continue-to-experienc,luke@benzinga.com,2020-03-11 00:00:00,KO,0,1,1,1,1,0,0,0,0,0.352
734914,shares of several consumer goods companies are trading lower amid a selloff in us equities the global coronavirus outbreak has hampered economic activity and negatively impacted multiple industries,https://www.benzinga.com/wiim/20/03/15509174/shares-of-several-consumer-goods-companies-are-trading-lower-amid-a-selloff-in-us-equities-the-globa,luke@benzinga.com,2020-03-09 00:00:00,KO,0,1,0,0,0,0,0,0,0,0.5
734915,the coronavirus outbreaks impact on global stocks commodities etfs,https://www.benzinga.com/news/20/03/15456940/the-coronavirus-outbreaks-impact-on-global-stocks-commodities-etfs,Tanzeel Akhtar,2020-03-02 00:00:00,KO,1,1,1,1,1,1,1,1,1,0.5
734916,shares of several beverage companies are trading lower weakness appears market related as equities across sectors sell off on fears of the global coronavirus spread,https://www.benzinga.com/wiim/20/02/15441618/shares-of-several-beverage-companies-are-trading-lower-weakness-appears-market-related-as-equities-a,Benzinga Newsdesk,2020-02-28 00:00:00,KO,0,1,0,1,0,0,0,0,0,0.15960000000000002
734917,coronavirus is not necessarily bad news for everyone,https://www.benzinga.com/news/earnings/20/02/15428507/coronavirus-is-not-necessarily-bad-news-for-everyone,IAM Newswire,2020-02-27 00:00:00,KO,1,2,1,1,1,1,1,1,1,0.7155
734918,how cannabis msos are winning over customers in evolving us markets,https://www.benzinga.com/markets/cannabis/20/02/15397162/how-cannabis-msos-are-winning-over-customers-in-evolving-us-markets,Wayne Duggan,2020-02-25 00:00:00,KO,1,2,1,0,1,1,1,1,1,0.76335
734919,morgan stanley upgrades keurig dr pepper on improved valuation,https://www.benzinga.com/analyst-ratings/analyst-color/20/02/15393389/morgan-stanley-upgrades-keurig-dr-pepper-on-improved-valuation,Jayson Derrick,2020-02-24 00:00:00,KO,1,0,1,1,1,1,1,1,1,0.7383500000000001
734920,warren buffett talks succession plans compares acquisitions to marriage in annual letter,https://www.benzinga.com/news/earnings/20/02/15390664/warren-buffet-talks-succession-plans-compares-acquisitions-to-marriage-in-annual-letter,Shivdeep Dhaliwal,2020-02-24 00:00:00,KO,1,2,1,1,1,1,1,1,1,0.60115
734921,lululemon trades down cocacola investors stay positive after coronavirus updates,https://www.benzinga.com/news/20/02/15384063/lululemon-trades-down-coca-cola-investors-stay-positive-after-coronavirus-updates,Tanzeel Akhtar,2020-02-21 00:00:00,KO,1,1,1,1,1,1,1,1,1,0.7787
734922,financial sector stocks could be in focus today as treasury yields falter but deere shines,https://www.benzinga.com/news/earnings/20/02/15384117/financial-sector-stocks-could-be-in-focus-today-as-treasury-yields-falter-but-deere-shines,JJ Kinahan,2020-02-21 00:00:00,KO,1,2,1,1,1,1,1,1,1,0.55135
734923,benzinga pros top stocks to watch for fri feb pep sdgr zs dpw hpq,https://www.benzinga.com/short-sellers/20/02/15383102/benzinga-pros-top-5-stocks-to-watch-for-fri-feb-21-2020-pep-sdgr-zs-dpw-hpq,Benzinga Newsdesk,2020-02-21 00:00:00,KO,1,2,0,0,0,0,1,1,1,0.60115
734924,update cocacola sees point impact to unit case volume point impact to organic sales impact to eps in q related to coronavirus,https://www.benzinga.com/news/20/02/15382451/update-coca-cola-sees-2-3-point-impact-to-unit-case-volume-1-2-point-impact-to-organic-sales-0-01-0,Benzinga Newsdesk,2020-02-21 00:00:00,KO,1,2,1,1,1,0,1,1,1,0.5
734925,cocacola reaffirms fy guidance amid coronavirus outbreak,https://www.benzinga.com/news/20/02/15382440/coca-cola-reaffirms-fy20-guidance-amid-coronavirus-outbreak,Benzinga Newsdesk,2020-02-21 00:00:00,KO,1,1,1,0,0,1,1,1,1,0.5
734926,cocacola raises quarterly dividend from to share,https://www.benzinga.com/news/20/02/15378180/coca-cola-raises-quarterly-dividend-from-0-40-to-0-41share,Benzinga Newsdesk,2020-02-20 00:00:00,KO,1,0,1,1,1,1,1,1,1,0.648
734927,heres how long it took cocacola to reach a b market cap,https://www.benzinga.com/general/education/20/02/15328740/heres-how-long-it-took-coca-cola-to-reach-a-100b-market-cap,Dave Royse,2020-02-18 00:00:00,KO,1,2,1,1,1,1,1,1,1,0.5129
734928,stocks that hit week highs on friday,https://www.benzinga.com/news/20/02/15337099/stocks-that-hit-52-week-highs-on-friday,Lisa Levin,2020-02-14 00:00:00,KO,1,2,1,1,1,1,1,1,1,0.5
734929,pepsi releases solid quarter results during its biggest month of the year,https://www.benzinga.com/news/earnings/20/02/15324563/pepsi-releases-solid-quarter-results-during-its-biggest-month-of-the-year,IAM Newswire,2020-02-13 00:00:00,KO,1,0,1,0,1,1,1,1,1,0.57655
